element,x,y,z
Ti,-0.959480,2.715993,-0.420543
N,-2.190294,1.649663,0.524631
C,-1.715971,0.533280,1.313829
H,-0.758405,0.777465,1.784489
H,-2.420613,0.302482,2.112901
P,-1.377170,-1.084552,0.379619
Pt,0.435375,-1.190994,-1.040363
P,2.054314,0.150064,-0.100448
C,1.831459,2.006600,-0.199349
H,1.777368,2.196336,-1.275351
H,2.763360,2.458590,0.151522
N,0.685399,2.584866,0.480734
C,0.996080,3.487160,1.638121
C,1.645006,4.776605,1.126419
H,2.587498,4.574976,0.608830
H,0.984774,5.305615,0.437421
H,1.872212,5.443187,1.963616
C,-0.300098,3.818841,2.375927
H,-0.790513,2.913755,2.741149
H,-0.073122,4.447566,3.240672
H,-1.005959,4.382328,1.764274
C,1.928170,2.826642,2.651131
H,2.063874,3.507648,3.495902
H,1.520458,1.889500,3.034441
H,2.919660,2.625307,2.245805
C,3.691962,-0.044575,-0.906200
C,4.279541,0.937451,-1.700381
C,5.535748,0.727293,-2.260217
C,6.210185,-0.463742,-2.037390
C,5.623043,-1.452242,-1.253663
C,4.374125,-1.245355,-0.692536
H,3.916302,-2.029233,-0.097442
H,6.135323,-2.394985,-1.089491
H,7.186747,-0.628859,-2.481889
H,5.977934,1.497799,-2.883984
H,3.764722,1.865193,-1.921035
C,2.534232,-0.224336,1.631511
C,3.784338,0.184596,2.111311
C,4.154487,-0.077849,3.421445
C,3.288069,-0.759030,4.272330
C,2.055353,-1.186006,3.799944
C,1.686245,-0.922042,2.484439
H,0.742650,-1.297191,2.115023
H,1.379137,-1.740821,4.442761
H,3.584170,-0.968935,5.295598
H,5.128377,0.242941,3.778244
H,4.478219,0.697443,1.452966
Cl,1.876990,-1.359998,-2.918015
Cl,-0.744500,-3.005272,-2.044650
C,-2.921992,-1.446740,-0.524661
C,-3.865232,-2.343176,-0.024048
C,-5.037310,-2.587601,-0.729991
C,-5.271976,-1.943100,-1.937598
C,-4.323878,-1.062246,-2.446979
C,-3.149719,-0.818105,-1.749725
H,-2.394623,-0.166068,-2.174210
H,-4.486240,-0.578689,-3.405195
H,-6.183870,-2.141435,-2.492504
H,-5.761623,-3.294881,-0.337811
H,-3.685197,-2.865829,0.908718
C,-1.337703,-2.350166,1.709264
C,-2.006392,-2.212707,2.929391
C,-1.950446,-3.223479,3.882471
C,-1.237117,-4.387370,3.623734
C,-0.580530,-4.537671,2.407697
C,-0.624532,-3.526946,1.456854
H,-0.115454,-3.646130,0.505855
H,-0.028164,-5.446943,2.193185
H,-1.197437,-5.177568,4.367257
H,-2.473584,-3.100696,4.825914
H,-2.589950,-1.326332,3.151944
C,-3.636865,2.060269,0.632333
C,-4.129968,2.465985,-0.757889
H,-3.532903,3.267063,-1.201913
H,-4.117313,1.611211,-1.434572
H,-5.155168,2.842004,-0.695315
C,-4.560136,0.960015,1.156626
H,-4.376702,0.716874,2.207641
H,-5.586276,1.332507,1.103158
H,-4.510913,0.048102,0.565713
C,-3.751270,3.244924,1.599083
H,-4.802214,3.513673,1.741575
H,-3.337599,2.989623,2.579283
H,-3.233919,4.129560,1.224329
Cl,-0.726564,1.926711,-2.468362
Cl,-1.461222,4.877153,-0.768603
